clean_text,label
lets do this critical update on easter monday when everybody is on vacation shit jimmy roll back roll back,negative
really hard for me to care about inflation when i pay pm and change contract every year for the best rate,negative
i pay rs riyal every month in saudi arabia for gb data and unlimited youtube and social network,negative
replace them with ai this is ai,negative
oh jungejunge klingt bel ich hab sowas mit ikea erlebt vielleicht schreib icj das die tage mal auf und poste es hier irgendwo,negative
هو عادي لو عملت خط باسمي و عملت فودافون كاش فيهم و فيه تحويلات داخلة و خارجة من الارقام دي لارقام غريبة خالص الف مثلا داخل و الف طالعة و قعدت تتكرر العملية لارقام لو كل رقم استخدمت الحد بتاعوا الي هو الف في الشهر لو انا سني سنة ا سنة هل هيكون فيه اي مشاكل كنت عايز اعرف بس,negative
lotus but not mclaren no rollsroyce aero engines or cars wierd,negative
wifi and data are flickering on and off faster than the check engine light in my car so its half back,negative
اهو وي ياعم ،، كلهم شركات معرصة,negative
wow even with an ethernet cable,positive
i scrolled for hours committed and became obsessed needed to see the end im still scrolling,negative
we did all this work and now its worse youre welcome,negative
you will surely get the karkland,negative
ارنج المغرب,negative
ich wei unbeliebte aussage aber ich bin echt zufrieden mit den ich bin seit ca jahren kunde bei den und hatte vielleicht bis komplett ausflle und in einer wohnung zu stozeiten schlechtes internet mit hohem ping dann wrde ich einfach neu verteilt und alles war wieder ok also als privatperson absolut kein problem bei uns ist halt kabel extrem verrufen weil es immer wieder probleme macht deswegen habe ich mir dsl geholt ich glaube als streamer sieht das dann wieder anders aus,negative
محتاج تغير مفهومك عن الارقام الكبيره,positive
have they tried turning it off and on again,negative
makes u even less interested in an advertisement,negative
thats less that mbs per second internet companies are assholes,negative
ارفع الفيديو علي التيك توك وهيطلع تريند,positive
ich der seit samstag ohne internet in der wohnung hockt weil die versprochene bergangslsung der telekom nicht funktioniert,negative
لو بيفصل dsl كده خط ارضي مهما حولت هتفضل انما لو بيفصل لمبة نت ممكن تجرب شركة تانيه,negative
war bei mit immer telekom vodafone luft hier ziemlich stabil,negative
wow really interesting i might put something in,positive
they have an insider scammer my gf got scammed by vodafone by them placing order and items she didnt even mention cancelled order immediately and then they apologized and admitted it was done by their side theyll try to push an iphone or apple earbuds onto a contract and never deliver,negative
bae systems in barrow im from west cumbria and barrow isnt obviously gods country for me but still they still matter i think,negative
its staggering how much he is idolised in egypt he is an inspiration and a role model for hundreds of thousands of kids,positive
i recently changed my broadband from virgin media to eir cause the new customer discount ended and it was way too expensive the reviews online all swore up and down eir customer service was the worst and to stay away there was a problem with my setup i didnt get the confirmation text that states when the technician would come called them waited only mins compared to in virgin media they apologised and set up a new appointment they offered about days later at first but when i said it has to be that week they said they will give me a call back and somehow arranged an appointment for the next day customer service works a little strange in ireland i really dont get it,negative
triste pela parte da vodafone,positive
this is how i found asts a year ago and its the best investment ive ever made still buying with a avg and k shares,positive
as a tech support operator at a telecommunications company dont buy this g shit unless youre absolutely sure youre fine with the speeds beforehand and have tested their networks even then it might work well for a few months until other people around get the same thing and clog up the stations oh and one more thing at least for the company i work for most of the times they prioritize mobile phone devices or services idk over these home mobile modem thingies so be wary of that too,negative
this makes me a little bit angry calling london from birmingham calling,negative
most owned by blackrock and vanguard,positive
certido de bito na hora ainda podem propor alterao de titular mas no podem emitir qualquer faturao aps a data do bito,negative
مبيدعمش راوتر الفايبر هتضطر تستسخدم حاجة تحول من فايبر لنحاس ودا بيفشخ السرعة مفيش غير وي عندها الفايبر واصلا كدا كدا الحنفية الرئيسية مع وي,negative
der onlinezwang der macht mich krank ich kann keine spiele spielen ohne empfang worcestershire sauce,negative
كلم الشركه قول لها في جنيه زياده وخلي الشيكه تاخدهم,positive
mondjuk ezek fasza padok,positive
this happened to me recently woke up with no phone no internet and no mobile internet same network does both broadband and phone couldnt wfh couldnt contact manager couldnt contact phone company couldnt get uber to office one of those moments where you realize just how reliant everything is on phone and internet,negative
many areas had g removed from the map weird since you already get g most areas didnt have g and claimed it on the map maybe theyll upgrade your mast in the future,negative
ive been with them for about years got months left on my contract they can then get to fuck,negative
glad my kid is doing after school activities hoping it gets fixed before,negative
make it merit based replace the waste of space ones like this one with ai keep human jobs for people who can actually bring something vaguely resembling customer support to the table or in the case of vodafone maybe just replace the entire customer support portal with a static page that says sorry fock off just being honest,negative
ممكن أحولهم لك دولار هنا و تطلع بيهم برا من غير خطوط ولا يحزنون و الفلوس تكون معاك حتي لو سافرت القارة القطبية و تسحبهم من حساب بنكي برا,negative
هل في طريقه ادفع بيها غير فودافون كاش,negative
good influencers were always fake anyway now its an honest fake read this in a hey you young punks git off mah lawn voice,negative
theyre such an awful company to deal with had a mobile contract with them a few years back shocking customer support hung up on me at bang on pm on a friday because it was clocking off time for the agent ill never go with them again,negative
la opcin conservadora es o al igual que digi usa la infraestructura de telefnicamovistar que en fibra va como un tiro teletrabajo con ella con cero problemas y la mvil generalmente va genial aunque puedes sufrir en aglomeraciones pej festivos en los que todo el mundo est en la calle al perder la prioridad con los clientes de movistar el nico problema que le veo es la tv lo que sea te lo tienes que pillar aparte creo que lo tiene un poco mejor si pillas packs con netflix pero no me hagas caso comprueba tu mismo es la web cuestin aparte la comercial tiene que estar disponible en tu direccin y por lo que he ledo puedes pillar promos de orange si ests dispuesto a esa dinmica pero si lo que pretendes es un firmar y olvidar o si est disponible me parece la mejor opcin,negative
im with talkmobile which uses the vodafone network and ive found the signal to be one of the best for coverage northwest uk,positive
just to let you know you have to let the op on call your recording just like they do to yourself calls are recorded for training and security there also bound by law direct sales guidelines on reading that boring script i used to do same in career for vodafone carphone warehouse before they went pop orange now bt ee but still a network phones you remember them sky tv and many more over the years so glad i away from call centre work now too depressing but its a job anyway if youre updating another contract or strightforward swap your covered by either or days return under cancelled contract but i suspect your contract will be a like for like for devices in conditional swap not brand new unless stated branded new as for woman if she has left on hold she can be requested to complaint by manager which from experence of vf is pointless they drag it out till you feel like you are going crazy you can request a sar subject request try complain wait weeks to ofcom but if in contract it be shut by week because your in a contract i had it with mobile companies operators call me all sorts in many languages and swear wordsi speak languages just ignore them and dont take it personal its a job call centre work with boss breathing down neck for kpi call times customers who can be arsey and no support for a crap wage in international countries phillippines asia or safrica mostly,negative
vodafone ist aktuell krass unzulssig,negative
bei vodafone der standardzustand der laden ist sowas von lost,negative
yo estoy con orange y estoy muy contento desde hace casi aos cero problemas y teletrabajando das por semana fibra mviles tv prime y netflix pregntales y a ver qu te ofrecen,negative
bb is my most bullish position calls one for august for january stuck at and holding shares increasing my position in shares now weekly,negative
the lady is wrong but at least she did her best while she was talking so forget it as it doesnt hurt you it isnt worth your time only in service industry or only those who have to talk on the phone all the time know how frustrating or tiring it can be to speak for hours and hours,negative
you just cant tell whats real anymore as rene descartes would say what the fuck is this shit,negative
so youre telling me the clearly ai generated person in that ad isnt a real person,negative
que desumano,negative
thanks for this well written post you have laid this information out in a way that is superior than any other article ive seen on bb been holding for a few years now in expectation of great things when autonomous vehicles start to take off,positive
giffgaff is quite good they have stuck to their guns on pricing and i have been paying the same for a couple of years now where my data allowance has actually increased ampxb this is also exactly why you shouldnt be scared of asking for a raise every year if your employer isnt matching inflation since your last review then you are effectively getting a pay cut expenses going up and incoming staying the same you are poorer even with the governments generous increase to the personal allowance each year ampxb i started a new job a little over a year ago and due to this we moved since i now wfh i am not expecting my employer to cover the cost increase pm entirely but i am taking it in to consideration when negotiating my salary in my review next week currently i am planning on asking for k to k being inflation to cover the adjustment to wfh and for evolution of my roleincrease of my worth to the company,negative
reebok has been headquartered in boston ma since the s,positive
هل فودافون مصر عملت فريز للتعيينات؟ هل حد في فودافون مش فويس ياكد هل هما وقفوا التعيينات حاليا ؟,negative
what arr the chances of amazon creating their own os by leveraging off bbs qnx technology during this period,negative
just want to say thank you and congrats ive made over in gains im going to continue buying hodl,positive
ach das erklrt einiges na in deutschland sind mal wieder die megabytes knapp verstehe,negative
when the revolution comes telco execs will be the first to the chopping block,negative
i think you should take the offer,positive
فودافون مصر توقع اتفاقية شراكة مع السويدي إليكتريك لتصنيع معدات اتصالات,negative
thats vodafonethree uk totally separate from vodafone egypt the only thing they have in common is the vodafone name but under different management,negative
somebody deleted the a records for their main dns vodafonecouk they no longer exist,negative
also nach dem dritten mitarbeiter wre ich zu einem vodafone store gegangen hatte das gleiche leidige thema mit meiner frheren krankenversicherung monatelang telefoniert keiner wusste irgendwas einmal in den laden persnlich zack alles war erledigt sobald da ein realer mensch vor einem steht und darauf beharrt dass das geklrt wird erledigt sich das ganz schnell,negative
a great opportunity to insist on a discount for this month,positive
شير الفيديو هيفيرل بسرعة البرق و ابعتو لصفحات و احكي وقولهم عايز الفيديو ينتشر بس حتي لو هتدفع فلوس علي النشر,negative
yes vodafone sold a load of spectrum to o last year and i had noticed performance drop significantly in london for mainstream vodafone users this will have been offset somewhat by the rollout of network sharing between three and vodafone making up for the loss on the vodafone side lebara however does not yet benefit from the network sharing and so draws the short straw ive ported out to smarty who are run by three and do therefore get the benefit of network sharing more info here this makes a lot of sense for uk mobile customers as a whole but hobbles lebara until they can negotiate better arrangements,negative
so i wonder why it doesnt work with telstra if it works with the others does this mean that i could purchase the latest sony xperia and be able to use it perfectly fine on a network other than telstra,positive
boots should be next to games workshop,negative
id go to the press for it but if you want to save the trouble escalate this with vodafone and demand a better treatment terms and conditions over the phone is stupid and you both are victims to the system,negative
serco is not the flex you think it is,negative
the most important british companies,positive
glorious dd,positive
ao devolveres os equipamentos independentemente da data de entrega nunca terias de pagar os eur,negative
fantastic dd and i read every single line of it ive opened a buy order for shares already for tomorrow premarket hoping for a million dollar a share in post split of course,negative
can east sussex have hastings direct at least,positive
azon kvl hogy zsfolt s egy kt klma tnyleg j lenne nem tnik gznak ez a terem,negative
did you hear back yet i took part in the ac and havent gotten any outcomes,negative
anyone have this advert but with subtitles intrigued to know what they are saying,positive
o para mi la mejor,positive
heute abend wieder enorme probleme zu diversen dienstenhabs vf mal gemeldet denke aber nicht das ich da viel erfolg haben werde,negative
it says no g in my area even though i have it even indoors i take the coverage map with a pinch of salt as its only an estimate the only time i use the map is to find or report an issue,negative
ريدوتباي أو بايبيت لة لسه شغال واشحن كرييتو,negative
airtel is as indian as it can get how did it even end up on this map,negative
مش شغالة للأسف لأ حلك يا اما كريديت كارد، يا redotpay ودي بتتشحن بالكريبتو يا اما cardy لما تبدأ شغل,negative
alter schwede ich muss mich nach dem durchlesen jetzt erstmal hinlegen,negative
expired cert seems to be the trend this week thats my guess but its probably dns,negative
you give me up to mbps and ill pay you up to month deal,negative
فى حد شالها من عالارض طيب ؟,negative
they taking the absolute mick i swear like whywas thinking of leaving them anyway so who should i move to i only use about gb data entire month etc and best network in my area is vodafones network and ees network,negative
get vodafone so u can vote for salah in every possible fanvote,negative
اعنل فيزا افتراضيه redotpay او baybit,negative
harto de vodafone alguna alternativa decente hola a todos llevo algo como aos con vodafone pues en italia sola ser la mejor con la mejor cobertura etc pero aqui en espaa me da guerra desde el da el internet en casa va muy kuy regular a veces se va por unos cuantos minutos o tiene una calidad tan baja que netflix me transmite en en el mvil a pesar de tener g mal mal a veces va super lenta no me carga webs instagram etc actualmente pago eur para fibra lneas mviles gb ilimitados prime y disney ahora empec a trabajar desde casa y necesito que mi lnea sea perfecta o por lo menos que no le deje tirado me interesan operadores que tengan buena fibra y tambien buena lnea mvil me hablaron de digi que sera la mas rpida pero dicen que la lnea mvil es nefasta orange parece buena opcin pero nunca la prob ni conozco gente que la tenga gracias a todos,negative
vajon jzus ott rontja mg a levegt,negative
مقاطعة لو متعرفش,negative
its pr season boys,positive
الدقيقة بعشرة؟ الأسعار ولعت,negative
ilyet n is szeretnk jtszani krek milkt grek os kamatot oszt simn berakom bankba ra iq powermove,negative
pr right now will only amplify volatility until we achieve revenue let the team cook and invest while the market remains ignorant to the opportunity,negative
i miss the builtin answering machine that was standard on xperia z compact,negative
wifi is coming back on but mobile data and calls and texts still not working,negative
na kedves egyetemistak most kellene az asztalra csapni utcara vonulni es tuntetni mert elobb vagy utobb a nep es a tobbi egyetem is csatlakozni fog,negative
im annoyed with you and i havent even spoken to you there is a cooling off period but when youre returning something youre the pain in the businesses bum and increasing their costs by talking to one person on the phone for an hour you have already cost the business about they arent lengthening calls for the sake of it working in a call centre isnt fun why would you want to harm someone in that way it sounds like they were doing their job well and you asked them to do something different instead of gritting your teeth and getting on with it its very difficult to work out what someones personality is like during a call about statutory things especially when youre trying to balance giving the caller time so they dont feel rushed and unloved but keeping the call short so they dont spend all day talking to them you should be hurt you deserve it you failed to shop efficiently you didnt call at a time where you were able to commit to a statutory process sales lines are open very reasonable hours and you also potentially recorded them without telling them they record the calls but notify you that you are doing so i think teenagers would call this entitlement im ashamed to be part of the same species as you,negative
i got a three sim only deal unlimited everything for month which included roaming for years but their signal sucks so much i switched back to ee as their speeds rival my home broadband for month however no roaming and only gb data occasionally i wonder if i will regret that three deal but damn their signal was just not worth it haha,negative
we have internet for the ethernet connected devices but no internet for the wifi connected devices funny thing is on the ethernet connected devices some apps are running fine but some arent,negative
yeah no shit all of these look terrible,negative
an influencer would be the easiest thing for ai to imitate correctly because they all sound fake to begin with,negative
schner text was war denn eigentlich dein ursprngliches anliegen,negative
ده مش رزق ده اختبار هي لو فودافون دي شخص ووقع منه الفلوس وانت شوفته وهو ببع منه الفلوس هتروح تديناله ولالأ اكيد هتديهاله لو انت انسان امين وبتخارف ربنا هي بالظبط كده كلم خدمة العملاء وقولهم حوشوا اللي وقع منكوا بس,negative
our boy is an icon,positive
in my opinion ai has become a fkn scourge,negative
yes signal has been getting progressively worse for the last months for me its now near impossible to listen to online radio players as it cuts out all the time its so frustrating,negative
كل شركات النت في مصر خرا المفروض نشوف حل للخرا ده,negative
you sound like a twat you deserved to be spoken to like that,negative
hows the battery life im hearing mixed reviews would like hands on experienced response,negative
vodafone ist der letzte drecksladen ich geh jetzt zur telekom ist mir scheiegal das ich da mehr zahle wenigstens versteht der kundenservice da deutsch und hilft mir ich hatte jahrelang probleme mit meinem internet jeden abend im ca ist das internet von er auf er leitung abgekackt jeden monat hab ich angerufen und jedes mal hie es ja liegt an der baustelle ne wir schicken keinen techniker das problem ist bald erledigt wir erstatten ihnen fr diesen monat den beitrag was war ich musste jeden monat den vollen beitrag zahlen eines tages frittiert irgend ein kurzschluss unseren router techniker kommt vorbei techniker berprft den anschluss oh da ist was falsch eingestellt moment so jetzt msste ihre leitung funktionieren danach nie wieder einbrche in der leistung gehabt immer scheiverein,negative
wait this seems wrong airtels most popular plan is the for days for gb per day which comes to about rupees per gb which is about cents,negative
clarks outsourced their shoe production to asia,negative
with speeds like that youre gonna have to start going to slowcom,negative
scrolled past all in shares,negative
in other words vodafone doesnt care enough about their own product to actually give a crap about the ad for it,negative
حاول تفتح اكتر من محفظه وتشغلهم على تيلفون زراير بس غالبا ممكن يخلوك تستلم من الفرع وللعلم خدمه العملاء بتاعت فودافون كاش زباله إلى أقصى حد,negative
بص ياخويا استعوض ربنا طالما انت مخدتش حقك ساعتها وضربته خلاص وانا عارف انك مكنتش هتعرف تعمل كده فخلاص بقي,negative
hab so eine gigacubekiste gehabt als ich noch meine wohnung in ffm hatte da diese schrottbude keinen wieklich vernnftigen anschluss hatte und die hausverwaltung sich einen schei kmmerte der kasten musste direkt am fenster stehen gut klar ergibt sinn in dem betonblock wenn es lief lief er gut gab aber auch tage da ist die verbindung alle nase lang zusammengebrochen manchmal hat der kasten auch einfach die verbindung mit den gerten getrennt weil der wiederum selbst keine verbindung hatte ich wre fast explodiert vor wut quasi wie so eine taube die in die oberleitung fliegt und platzt wie ein luftballon,negative
just came back up not only did everything go down it happened the instant i pressed apply on a big network configuration change on my network that sent me on a wild goose chase for a good hour trying to figure out what the fuck id done wrong eventually ending in me scrounging off free nhs wifi to confirm that yes it was in fact everywhere also apparently my plan to move all of our mobile and broadband contracts over to vodafone is deeply flawed,negative
lmk if you have sum for we telecom,negative
after many years vodafone suddenly decided to stop coverage to my home bit of a problem since i work from home it took me three months and numerous calls for them to end my contract no coverage but kept billing me worst commercial experience of my life,negative
missed a trick there should have done an ad for orange seeing as were doing great in that kit,negative
i had to massacre some of the text to fit in the character limit for a more comprehensive writeup look to uthekookreport s dd document,negative
i hate vodafone due to shitty customer service regardless of how the good any deal with them is theyd not be getting my business again if something like this happened to me customer service is really all these companies have if they havent got that then move on theyre all much of a likeness,negative
im long shares interested to know what you think the single greatest threat to bb is,negative
how can we talk about free market economy when government can enforce their political interest into world business without any kind of proof or explanation us government can now decide to kill any foreign competition just by using the word national security this is just wrong very very wrong,negative
الحق اسحبهم,positive
بقيت اتمنى تقوم حرب علشان يتعدلوا ولاد الناقصه دول,negative
any tips on broadband my broadbands up for renewal and the email offers are garbage,negative
its all either chatgpt or tendies overdose all in dte calls tomorrow,negative
looks more lifelike than half the real influencers out there,positive
you brits seem awful lucky verizon probably would have doubled the charge,negative
لسا عامل محفظة فودافون كاش وعندي استفسارات لسا عامل محفظة فودافون كاش واتحولي عليها فلوس وعايز اسحب المبلغ قالولي اروح فرع فودافون اسحب من هناك السؤال، هو ايه عمولة أو ضريبة السحب من فودافون كاش في الفرع وهل فيه طرق تانية اقدر اسحب بيها من فودافون كاش بعمولة أو ضريبة اقل؟ وهو فيه وقت اقدر اسيل الفلوس فيه في المحفظة؟ يعني مثلا اقدر اسيل الفلوس سنة من غير ما اعمل بيها حاجة أو اسحبها؟ هل هيتخصم مني؟ شكراً,negative
وانته اغلب الظن مش شغال في فودافون انته شغال اوت سورس,negative
this will probably not end well for mobile companies it will just lead to people not buying phones by either holding on to their phones longer which technology allows or buying a phone outright so that all they spend with the mobile network is a non contracted data sim pack all the comments in this thread are already suggesting this and when customers see the huge increase they will probably think the same,negative
thank you op most dds are just high short interest we like the stock this one has thoughts both pros cons and talk about competition should be a template,negative
i work for vodafone myself in the stores best bet is pop into your local when you can customer care would just send you in anyway if you got a half decent agent in the chat,negative
who cares lol,negative
really appreciate this ive already invested in bb but will be adding more shares after this,positive
please can everyone stop trying to pump bb and let it grow naturally i have shares in them and i dont need posts about it a day trying to get novices to pump it up,positive
its beginning to work again the annoying thing for me is that my phone is voda as well and ive been completely dark i had to watch tv,negative
حضرتك ٤ مرات في رسالة واحدة,negative
mohammed on this occasion did not do the needful,negative
hatte das gleiche problem vor jahren bei der teledumm monatelange diskussionen und supportcalls haben zu nix gefhrt da half nur ein anbieterwechsel regionaler anbieter keiner der groen ich wnsche dir viel glck,negative
she even has flux face with the fivehead and chin cleft,negative
its impressive usually this is the kind of thing big companies with lots of money do,positive
i dont know if anyone has seen the qatar airways ads but theyre terrible,negative
literally happens every year on every network,positive
much as i hate to say i told you so i fucking told you so,negative
اعمل شكوى في الامانة العامة لوزارة الدفاع، ظابط الجيش ملوش اي سلطة مدنية متخفش من حد انت ليك حق روح اعمل الشكوى,negative
الرقم القومي بيشيل محافظ بس اخرك، والخطوط في كل شركة,negative
this is impressive great job,positive
shitty customer service shitty internet securenet will block any page you want to enter to download something the ones with the most virus would be completely operative so it isnt for your security and periodically youll have your own internet wifi and lan disconected for hours if it wasnt for the permanence we would have sended them to fuck themselfs a long time ago,negative
well if they said up to they werent lying,negative
i think you should move on with your life you wont gain anything more important things to be doing with your time,negative
اعمل محضر و لو ليك حد في الشرطة العسكرية هيركبه ظباط الجيش غير الشرطة في الحاجات دي الشرطة العسكرية بتركبهم,negative
well i have mbs,negative
not related to gigacube thingy but for me vodafone was the worst internet and phone provider everhad bad internet always lagged sometimes notmoved one floor down and vodafone telling me that the internet there would be much bettermoved inthe internet improved slightly had almost frequent internet problemsneeded to sit in their automated shitty support service for up to minutescharged me later with euros because i sometimes called foreign countries where my friends live and relativeswith my new provider i pay only euros a month for the last year and a half only had about half a day or day of no internet that was a street power issue not relating to the new provider vs vodafones weeks without it no lag and good connection after getting new provideralso gaming after that was possible with ping from from local servers vs vodafones ping from local servers yes calling outside of my country is outside of my contract but euros out of nowhere get out of here generally i find vodafone to be greedy and not informativethey shutdown my internet and told be to turn it back on i first need to pay a nice sum of eurosi have suspicions of them not informing meemail was also empty and not telling me that so much money is going on my home phone whenever i call for a few minutes times a week i dont know if i was the only one that was having these frequent issues,negative
enshitification or some form of bs,negative
they moved their cs to egypt some time ago and since then thats the level of support with vodafone nothing new here wait if youll have to move somewhere and youll want your contract transferred no can do you will pay early exit just to start another contract in my case it was so absurd that i had to choose if i want to pay early exit penalty plus anything that was counted as new customer discount so around euro total it was cheaper for me to just pay for the rest of the contract however while my contract was in force new tenants at my old address couldnt get a broadband vodafone told me they could transfer my contract to their name but again without any discounts i called to my old place met the people nephew of my old friend and his wife they had a small baby and not much else in the house told them to enjoy free broadband for next months housewarming gift but seriously vodafone had the worst customer support before but now they already got a first place no need to overdo it,negative
vodafone completes megamerger to form uks largest mobile phone network,positive
telecom algeria,positive
hatte mein handy verloren und eine neue sim auf der service sms nicht ankamen musste auch durch mitarbeiter in drei sessions oder so durch jedes mal authentifizieren jedes mal problem neu schildern jedes mal weitergeleitet und von vorne am liebsten war dann immer sie erhalten gleich eine sms fr feedback ich wrde mich sehr ber eine positive bewertung freuen die kann ich ihnen leider nicht geben die sms wird bei mir ja wegen es gerade besprochenen problems nicht ankommen,negative
wownice dd bb is like pltr they keep winning but gets no love both are long plays and wil be rewarded,positive
hotter wife im in,negative
gw mentioned the godemperor approves,positive
yo estoy con digi y la verdad que la linea mobil es bastante buena a veces va lenta pero de normales tira a mbs,negative
عروض فودافون مصرمن أضعاف الإنترنت عروضفودافون العروض elrod تخفيضات خصومات تسوق عروض تخفيض خصم عرض elrodegypt اخرعروضمصر عروضمصر مصر,negative
ive been with three since about recently changed my isp to ee and they have been great considering moving my mobile to them too,positive
سيبهم ف الحساب كدا كدا الشركه هتخصمهم بعدين ولو مخصمتهوش حلال عليك الشركات دي حراميه اسرقهم زي ما بيسرقونا,negative
سعيدين جدا بمشاركتك معانا لو لسه جديد، ادخل سيرفر الديسكورد هناك بنشارك مصادر ونتكلم مع بعض في البرمجة والشغل i am a bot and this action was performed automatically please contact the moderators of this subredditmessagecomposetoregyptdevelopers if you have any questions or concerns,negative
os meus sentimentos op e coragem neste tempo difcil,negative
if ever texas makes good on their threats to leave the us this is exactly what we would be seeing from them,positive
marks and spencer,positive
im changing to lebara was only a month into new contracts so this is amazing,positive
ive resented the cunts since they sponsored the red shite looks like i will be changing provider,negative
why stop at why not a million mbps a billion the skys the limit when you dont give a shit,negative
tips from a vodafone employee ive been working at vodafone for almost a year now and have seen things that are nothing short of despicable on some customers accounts mostly where customers are overspending on their bill etc ive written a quick list of the most common issues ive seen on peoples accounts youre most likely paying pm extra per line for something called secure network next time you visit a vodafone store ask the staff to remove it so you can save some money on your bill handsets if someone pitches you a handset with a pm airtime plan you need to run for the hills depending on the handset airtime for unlimited ranges from to pm minimum what you can do is take out a new contract with a new number ask the staff to add a gb sim plan that way if you get a handset with vodafone you dont pay a crazy amount for airtime aim to pay off the handset value within months once done you can cancel that gb airtime plan without an early termination fee or just buy your handsets directly from apple samsung to save the hassle lastly if you already have a handset with us attached to your number ask how much value is left for the handset if you pay off that amount then you can bring your sim airtime tariff down by upgrading to a sim only you also have the option to port out to another network if you wish take advantage of vodafone partner companies vodafone owns talkmobile amp is in a partnership with voxi quick example lets say you want unlimited on a day plan pay as you go vodafone payg unlimited will be voxi a vodafone company charge for unlimited and it shares the vodafone network you see where im going with this talkmobile is another company owned by vodafone you can get gb unlimited calls amp texts for vodafone would charge you for that if you go on contract again same deal it shares the vodafone network meaning you wont feel a difference and youll be saving money these are little things to keep in mind a lot of store advisors arent honest and will look to sell you the highest plan because it makes them the most commission look out for yourself and save some money on your next visit if this post gets a positive response ill post more frequently on here,negative
شراكة استراتيجية بين فودافون مصر وشركة ليجاسى لتشغيل المتحف المصرى الكبير لإطلاق منصة ذكية لإنترنت الأشياء بحضور وزيرى الاتصالات والسياحة والمهندس محمد عبدالله الرئيس التنفيذى لفودافون مصر والمهندسة ميريت السيد ، الرئيس التنفيذى لشركة ليجاسى,negative
i left as soon as the announcement was made a while back i refuse to interact with vodafone scummy company,negative
made my day,positive
convenient that this gets posted today after the company was being egregiously called out yesterday for really shifty consumer fuckery this fucking stinks,negative
خط فدافون لو شحنت عليه رصيد صافى ممكن تدفع بيه لو ربطه من حوجل بلاى بس اتأكد ان تعمل حوار نظام قرش زى بتاعت اتصالات عشان الرصيد متتحولش باقه وانا رابط خطى زى الى فل اسكريين اشتريت بيه العاب كتير على جوجل بلاى بس خلى بالك من حوار الرصيد يتحول باقه ده,negative
india has a pretty low cost per gb of data thanks to the highly competitive nature of our telcos source finshots,negative
so in other words three will vanish in years time when vodafone swallows the rest of the company now watch the speeds plummet and connection issues soar as people on both networks fight over the bandwidth from one mast its a winwin for vodafone not for the customers three have just been granted permission to install a mast at the end of my road but obviously they wont bother now and theyll just piggyback on the existing vodafone one instead making the existing data service worse and negating my plan to get a three sim as backup,negative
india is not for a g connection i pay for smsgb dataunlimited calling per day for days additional data is like for gb and for gb broadband is another story i pay around for mbps connection with gb fup and unlimited at mbps after that,negative
you and me have the same laptop lol,negative
